,Tweet
8174,"@major_madhan @asuvathaman @annamalai_k #Agnipath is the need of the hour. More than anything, at least to bring the much required discipline, self control, duty bound, dedication and commitment towards society and on top of them, respect for nation and peace. I am sure with #Agniveer participation,"
8175,"#MiddayNews |

Delhi HC to hear pleas challenging Agnipath scheme on Aug 25

#DelhiHighCourt #AgnipathScheme #LatestNews #NewsUpdates 

https://t.co/aN00dyCIIC"
8176,@major_madhan @asuvathaman @annamalai_k Strong india #Agnipath
8177,Challenge To #AgnipathScheme: #SupremeCourt Refuses To Transfer To Itself Cases In HCs; Sends Petitions Filed Before It To #DelhiHighCourt. https://t.co/7GmozcJfnc
8178,"#BiharAhead: Caste column in Agnipath form brings RJD, JD-U together, both parties seek clarification from Centre 

@tweettweettalk @ShivPujanJha1 #AgnipathScheme https://t.co/8kG9ZAon1t"
8179,BREAKING NEWS: Govt gives ‘in-principle approval’ for 10 pc quota for Agniveers in CAPFs https://t.co/6Sry4Awwbe #Agnipath #Agniveer #CAPF #quota
8180,"Centre changed angle of my question on Agniveer recruitment: Kushwaha 
https://t.co/BsCHTOHPhi
@UpendraKushJDU @Jduonline @NitishKumar @yadavtejashwi #Agniveer @BJP4India @narendramodi @AmitShah @rajnathsingh #news https://t.co/SmnH2grBmi"
8181,Opposition are Misleading the nation #AgnipathScheme #CasteinArmy #Parliament #ParliamentMonsoonSession https://t.co/xyAOIBWi5A
8182,"@mananbhattnavy @AirPowerAsia @arunp2810 @rajeshsarrin @JaggiBedi @subnut @RajeshwariKori @CdrAtulgupta Very good analysis of the new recruitment process. Kudos for going back into the history.
Similar analysis would apply to the other two services.

In short #Agnipath process is a bottoms up transformation. CDS and theaterization are top down transformations."
8183,"Two people died, 35 were injured and 2,642 arrested from railway premises during the agitation against the #AgnipathScheme, the #Railways informed the Parliament on Wednesday https://t.co/Vq5zvCKoP9"
8184,"This is How and What Real 'Trend-Setting' mean..
😍👌👌..
For the Nation,
By the True Nationalists🇮🇳.
#Agniveer
#agniveerRecruitmentScheme
#JaiHind https://t.co/lgmHorNQub"
8185,"2 died, 35 injured in Agnipath protests in railway premises: Centre
https://t.co/aeygxqyMv2
@AshwiniVaishnaw @RailMinIndia #AgnipathScheme @narendramodi @AmitShah @rajnathsingh #news https://t.co/enT2gklR8L"
8186,"It's called split and run
#IStandWith
#AgnipathScheme https://t.co/prK7fRWIw6"
8187,"@swarup58 LOL most Educated, Eational &amp; Sensible guys if given an option would like to migrate from this New India. Frankly 2G- Gobar &amp; Gomutra Focused Sarkar is a Disaster. Policy Blunders #AgnipathScheme #unemployment #NupurSharmaControversy https://t.co/mlePjZTCvE"
8188,"A Motivational Talk on the benefits and nuances of #AgnipathScheme delivered to NCC cadets of Border areas at NCC camp conducted by 3 JK Bn NCC at Naugam, Kupwara in Kashmir.
#Agniveer https://t.co/B1jV1E4Ylr"
8189,Janata Dal-United (@Jduonline) parliamentary board president Upendra Kushwaha on Wednesday claimed that the clarification needed in the recruitment of #Agnipath and #Agniveer scheme has not come yet. https://t.co/BR0sG3Zre4
8190,"Two people died, 35 were injured and 2,642 arrested from railway premises during the #Agnipath agitation, the #Parliament was told.

@AshwiniVaishnaw https://t.co/5HbooR4ufa"
8191,"@ShivAroor In past 8 years opposition has got nothing to speak against #ModiGovt 

They tried his cloths, mushrooms, beards, etc.

Not they are saying their is a probability of caste based discrimination in #Agniveer scheme.

Problem doesn't exist, so assume a problem to criticize the govt"
8192,@DroupadiMurmu__ #AGNIPATH HTVA DO AUR PENDING RECRUITMENT PURI KRVA DO🙏CAN YOU DO
8193,"#Agnipath is a milestone, to meet the growing demands of national security
#AgnipathGameChanger"
8194,"#KargilWar
A war that defied all odds

Down the Memory Lane 

May 24, 1999

79 Mountain Brigade takes over Mushkoh Sub-Sector

#KargilVijayDiwas 
#AmritMahotsav 
#IndianArmyPeoplesArmy 
#AgnipathScheme https://t.co/PAtYmtqAQl"
8195,"@HMOIndia @DefenceMinIndia 10% horizontal reservation is decided to be given to Ex-Agniveers for the post of Constable(GD)/Rifleman when the first batch of Ex-Agniveers is available for recruitment after completing engagement period of four years  in Defence Forces.

#AgnipathScheme"
8196,"There are better ways to save money than implementing flawed #AgnipathScheme 

National Security is not a lowest bidder contract, when #IndianArmy is neglected or experimented then 1962 happens. 

Time to think."
8197,"#AgnipathScheme will have long term effects on national security. 

Better to think again, use it as test bed in other organizations like #IAS #IPS and analyze the outcome. 

When Army fails, nothing survives eg #Afganistan #Syria etc

Think before it is too late 
@PMOIndia"
8198,"#AgnipathScheme 

 The Govt will also benefit by getting an abundant supply of trained manpower for induction into various posts in CPOs/defence civilian organizations. The scheme, therefore, should be implemented in its entirety without any delay."
8199,"#AgnipathScheme 

Scheme of lateral shift of Defence Forces personnel in CPOs will not only result in substantial financial savings for the Govt but will also guarantee a life time employment to the Defence Forces personnel."
8200,"#AgnipathScheme 

6th Pay Commission says👇 100% lateral entry 

2.4.7 This scheme will not only make available sufficient number of trained manpower for CPOs as well as defence civilian organisations but will also curtail the pension bill of the Government significantly."
8201,"Just a Q #Agnipath 

Why do we need young #IndianArmy?

If country can't give pension, then why don't we have same terms and conditions for all Govt jobs. Let everyone retire at 60 years. 

Hope acceptable to all 🤔🤔
@PMOIndia 
@rajnathsingh"
8202,"2
Why #AgnipathScheme for Defence Forces?

To maintain young profile as they are operating in most inhospitable dangerous environments where BEST toughest young men are required to do or die. 

And 

To reduce pension bills as 99% are sent home between 35 to 50 years of age ."
8203,"Must listen to this to understand why people are against this #AgnipathScheme and how can the Govt clarify these doubts to make this a Win Win Scenario for the Defense Forces, National Security and all Govt organizations 
https://t.co/SeQ15JVPTB https://t.co/dE3tVPXh4V"
8204,"#Agnipath Scheme: Fresh Row Erupts As #Congress, #BJP Spar Over Caste Certificate

#TNDigitalVideos https://t.co/rol2o3fEX9"
8205,"@IAF_MCC @SpokespersonMoD @mygovindia @AmritMahotsav @DefenceMinIndia @PMOIndia @drajaykumar_ias @MIB_India @PIB_India @adgpi @IndiannavyMedia Don't kill the future of #IAF sir

We have completed the selection procedure now you should allow us to join the #AirForce

You're Sena don't be political puppets.
#Airforce_Enrollment_Do #JusticeForDefenecStudents #AgnipathScheme #IAF #Agnipath #Agniveer #JusticeforIAFaspirants"
8206,"Good news for youth who become #Agniveer after passing 10th; will get this gift after 4 years
https://t.co/yH6OnrebE5 https://t.co/D01pA5dejW"
8207,"@IAF_MCC @SpokespersonMoD @mygovindia @AmritMahotsav @DefenceMinIndia @PMOIndia @drajaykumar_ias @MIB_India @PIB_India @adgpi @IndiannavyMedia Why no #AirForce base in 9th biggest state of #India ? 

#AirWarriors #Agnipath is not for #Chhattisgarh ?

@DefenceMinIndia @PMOIndia @rajnathsingh @narendramodi @ArunSao3"
8208,"#AgnipathScheme 
Centre gives in-personal approval for 10% quota for Agniveers in CAPFs. 
#Angniveer"
8209,"#MiddayNews |

2 dead, over 2,600 people arrested from Railway premises over #Agnipathprotests: Govt

#IndiaNews #AgnipathScheme
 https://t.co/cyO63JP4kj"
8210,"The #MHA informed the #RajyaSabha on Wednesday that a 10% reservation for recruits under the #Agnipath scheme in Central Armed Police Forces or the paramilitary will apply horizontally, reports @vijaita
https://t.co/tpDsOYckPn"
8211,"Union Minister of State for Home Nityanand Rai who informed the Rajya Sabha about the decision also added that 30.41 lakh candidates appeared against 60,210 posts of constables in the Central Armed Police Forces.
#CAPF #Agniveer 

https://t.co/0K5aBL816s"
8212,"This is after a 30 KM run after finishing the task given. Every aspirant of #AgnipathScheme would be inspired by this. This is what you are trained for. To handle the toughest of situations, no matter what aspect of life you look at. Love my army 💜 🇮🇳 https://t.co/36z3Lfaej1"
8213,"@t_d_h_nair @BSF_Gujarat @BSF_Rajasthan @BSFODISHA @BSFNBFTR @BSF_SOUTHBENGAL @ajaishukla @rwac48 @manaman_chhina @pbhushan1 @nit_set @paranjoygt Is this Russian version of #AgnipathScheme that BJP regime is shoving through? @ambkcsingh @KanwalSibal
https://t.co/AbrHQv5uWy"
8214,"#IndianAirForce Agnipath Recruitment 2022: Check Preparation Strategy for English
 
#AgnipathScheme  

https://t.co/XqYXb1heX7"
8215,#NationalCadetCorps An awareness lecture on #AgnipathScheme was attended by 34 cadets of 2 J&amp;K Bn NCC of Jammu Group at GHSS Jourian @OfficeOfLGJandK @HQ_DG_NCC @prodefencejammu https://t.co/kcIMKOKWSb
8216,"Appeared in the matter of Agniveer /Agnipath which is challenged before Hon'ble Apex Court.
#AgnipathScheme 
#AgnipathRecruitmentScheme 
#agniveerRecruitmentScheme 
#agniveerrecruitment2022 
#SupremeCourtOfIndia https://t.co/VM2vEptKzl"
8217,"The Supreme Court on Tuesday refused to transfer to it petitions filed in several high courts challenging the #AgnipathScheme, and sent three such petitions before it to the Delhi HC for adjudication. 
https://t.co/tfHxiT7Z2p"
8218,"Delhi HC will hear all petitions related to the Agnipath Scheme on August 25.

#supremecourt #delhihighcourt #Agnipath #AgnipathScheme #dailynews #news #law #dailybites #legalbitesacademy https://t.co/unLr7K68AL"
8219,"Youth voilently protested against #AgnipathScheme ... Y can't they raise their voice Peacefully against hiking prices and GST on basics like Gas, petrol,Food items, Milk products, RTC charges"
8220,All you need to know about the 'Agnipath military recruitment scheme' announced by the government #IndianArmyPeoplesArmy #Agniveer #AgnipathScheme #agnipathyojna #agniveers #agnipathyojna #AgnipathRecruitmentScheme #AgniveerRecruitment2022 #Agnipath #Centralgovernment https://t.co/DR49OP3c1Y
8221,Agnipth Scheme To know more .It is too good .Bahkave men naaayen. Jai Hind. #AgnipathScheme #agnipathyojna #agniveers #agnipathyojna #AgnipathRecruitmentScheme #AgniveerRecruitment2022 #Agnipath #Centralgovernment #Agnipadrecruitmentschme #agniveer #Indianarmy https://t.co/5YyuuTq1v5
8222,"#AgnipathRecruitmentScheme Be an #Agniveer, serve the nation#AgnipathScheme #AgnipathRecruitmentScheme #SupremeCourt https://t.co/5V08VG0N2S"
8223,All you need to know about the 'Agnipath military recruitment scheme' announced by the government #IndianArmyPeoplesArmy #Agniveer https://t.co/uFSiwOAjT2
8224,"#AgnipathRecruitmentScheme Be an #Agniveer, serve the nation#AgnipathScheme #AgnipathRecruitmentScheme #SupremeCourt https://t.co/oynv2bsr8W"
8225,All you need to know about the 'Agnipath military recruitment scheme' announced by the government #IndianArmyPeoplesArmy #Agniveer https://t.co/9ZePX0i2dm
8226,"#RajyaSabha proceedings were adjourned for the day on Wednesday after the opposition continued to clamour for a discussion on #inflation , hike in #GST  rates, #AgnipathScheme among other issues.
https://t.co/juXmfFnxbc"
8227,#Agnipath is a potential game-changer because it will help collapse these walls of granite between two cylinders of excellence—the civil and #military domains of our polity. @Gen_RajShukla writes https://t.co/HsHIOEB2AG
8228,"Three army recruitment rallies under #Agnipathscheme in #Punjab during next two months
https://t.co/TbE7k42Bzr @VijayMohan_1"
8229,"#AgnipathScheme leaves hundreds of thousands of armed forces aspirants, who were on the verge of enrollment, out in the cold. I report @IndiaToday @IAF_MCC @adgpi @rajnathsingh https://t.co/61lFHstEWf"
8230,"Union Minister @ianuragthakur said #AgniveerRecruitment has not changed. The recruitment process has received lakhs of applications.

@MIB_India 
@DefenceMinIndia 
#Agniveer https://t.co/5qSvbHZYgc"
8231,Decoding the #AgnipathScheme for #IndianNavy @indiannavy by @mananbhattnavy https://t.co/bNnQ8VOwuk
8232,"Practice #Agniveer Free Daily Quiz, Live tests and attempt Unlimited Mock tests to boost your preparation on https://t.co/DzFucoaqQz (Also on Csc and e-mitra) 
@Rajivmalik70 @CAITindia @bcbhartia @praveendel @neha_sanskriti @ashu_ashu88 @shrads1 https://t.co/2ZhUv0U7j6"
8233,#DelhiHighCourt To Hear All Petitions Challenging #AgnipathScheme on Aug 25 @LawstreetJ #SupremeCourtOfIndia #JusticeSatishChanderSharm #JusticeSubramoniumPrasad
8234,"The #AgnipathScheme might appear to be feasible on paper but won’t pan out well in practice, opines Deepak Sinha https://t.co/MsvcxgvpS2"
8235,"Indian Navy MR Agniveer Syllabus, Sample Question Paper 2022 Link - https://t.co/rLf4lfXuJj                                                                                               #Indian #Navy #MR #Agniveer #Syllabus #Sample #Question #Paper"
8236,"#RajyaSabha proceedings were adjourned for the day on Wednesday after the opposition continued to clamour for a discussion on inflation, hike in #GST rates, #Agnipathscheme among other issues.
#ommcomnews
https://t.co/YIMLNgaFW7"
8237,@_AjitTyagi @SanjayAzadSln If you are uneducated there no need to spread fake news about #Agniveer understand @SanjayAzadSln
8238,Politicos and Military Chief’s will have to catch the bull by his horns on the Ladakh occupation by China. People’s patience is wearing thin. Why petrols for probes of PLA’s readiness in Tibet are not being activated? #Agnipath will further demoralise the veterans and forces.
8239,"#RajyaSabha proceedings were adjourned for the day after the opposition continued to clamour for a discussion on inflation, hike in #GST rates, #Agnipath scheme among other issues. https://t.co/0w1Cn7I2Tm"
8240,"@jmeghanathreddy Honorable Sir,We need the help of frontline Ex-servicemen to prepare the students to join the Indian Army. I pray that the students will benefit greatly from having the Ex-servicemen in  our district sports Stadium and training the Aspirant's for the Indian army Rally. #agnipath"
8241,"The infamous darling  of Lutyens' who predicted 15 years for #India to get vaccinated, didn't know the names of our 3 service chiefs and he came to argue about #AgnipathScheme 

Appropriately shown the mirror 😱😄😄 by @Shehzad_Ind 👏 https://t.co/zvks56nt9r"
8242,#DelhiHC to hear pleas against #AgnipathScheme on August 25.
8243,"Sr Adv suggests all petitions concerning challenge to IT Rules of 2021 may be transferred to one high court similar to how all pleas on #Agnipath were sent to Delhi HC

Justice AM Khanwilkar: We'll have to first see which high court has the least vacancies 

#SupremeCourt"
8244,"Agnipath : AGNIVEER ARMY (Tradesmen - 10th Pass) Indian Army Exam Guide
Buy From Here 
Amazon-https://t.co/vYmUKfD675
Flipkart- https://t.co/jVPnk5EmG1
Visit- https://t.co/ST8YtvJii8
Call: +91-011-23261567, 23275124, 23275224
#Agnipath #AGNIVEERARMY #Tradesmen10thPass #IndianArmy https://t.co/lMQvnAASgx"
8245,"Claim: For the first time in the history of India, caste is being asked in army recruitment.  #PIBFactCheck

 ▶️ This claim is false.

 ▶️ There is already a provision to show caste certificate for army recruitment.

 ▶️ There is no change in this specifically for #AgnipathScheme https://t.co/6KnVSxZxg9"
8246,"The #DelhiHighCourt will hear on August 25 a batch of petitions challenging the Centre's Agnipath Scheme. 
@LawstreetJ #Agnipath #Agniveer #AgnipathRecruitmentScheme #AgnipathScheme #IndianArmy https://t.co/tscrsZI6z3"
8247,"The Delhi High Court will hear on August 25 all the pleas challenging the Centre’s newly-launched Agnipath recruitment scheme

#AgnipathScheme #HC #mobilenews24x7

https://t.co/amPx5bCn5x"
8248,"The Great CA and infamous AAP leader who predicted 15 years for India to get vaccinated.He didn't knew the names of our 3 service chiefs and he came to argue about #AgnipathScheme.
Shown the Mirror by @Shehzad_Ind https://t.co/w8TF5ga1dT"
8249,"10% Reservation in @KashmirPolice &amp; other jobs for Agniveers, is a major breakthrough for those aspiring to join as Agniveers!

 #AgnipathScheme is a ground breaking opportunity for the #Kashmiri youth to serve the nation and to secure their future! 

@amritabhinder https://t.co/Qup8Elx1vr"
8250,"It is an opportunity to serve my motherland. I would be proud if I join. #AgnipathScheme
#India #Agneeveer #IndianArmy #PMOI #Bihar #UP #Delhi https://t.co/lV2lLJUVBa"
8251,"IEC Materials distribution by youth volunteers  to sensitize the youth on benefits of #AgnipathScheme campaign at Village balakati Block Korukonda.
#AgnipathRecruitmentScheme
#Agniveer
@NisithPramanik @NYKS_Odisha @Nyksindia @YASMinistry @ianuragthakur @NyksRd @NMalkangiri https://t.co/6Z8rrardxE"
8252,"A good step taken by the government to inculcate #Nationalism in the #citizens...!!
#Agnipath #Agniveer #AgnipathRecruitmentScheme #Agnipath 
#AgnipathGameChanger"
8253,"The government launched the 'Tour of Duty' (ToD) or 'Agnipath ', a recruitment scheme for the armed forces.
#TourofDuty #Agnipath #IndianArmy 
#AgnipathGameChanger"
8254,"#OPINION | The #Agnipath scheme has brought a number of issues to the fore. The Service Headquarters will now need to grapple with concerns raised in various forums and as a result of in-house brainstorming sessions: Maj Gen Jagatbir Singh.

https://t.co/NpEBvy95W9 https://t.co/zuekOU5Tpr"
8255,"#Agnipath is a scheme which has been brought for the interest of the unemployed youth of the country. The scheme is to provide them an opportunity to serve the nation and get employment.
#AgnipathGameChanger"
8256,Nothing is more expensive than a missed opportunity. AGNIPATH SCHEME is also providing a great opportunity for youth to serve the nation as an Agniveer. #agnipath #agniveer #agnipathscheme  #Indianarmy https://t.co/bdTxfrdl0o
8257,"#OPINION | There is a need to analyse the factors that play a significant role in shaping the second career of ex-servicemen and its congruence with skill development programmes in India to ensure seamless transition: Maj Gen Jagatbir Singh.

#Agniveer 

https://t.co/NpEBvyrfah https://t.co/V830Two2HJ"
8258,"“You may be veer, but not agniveer”, SC remark on Agnipath PIL: https://t.co/37hyErtSFi #agnipathscheme #agniveer #agnipath #agnipathrecruitmentscheme #news"
8259,"Govt. has announced a 10% reservation for Agniveers in @JmuKmrPolice. The local youth who will get employed under #AgnipathScheme  will get benefit, if they are not made permanent in the Indian Armed Forces.

Such a great initiative will fetch more and more youths as #Agniveers! https://t.co/DkqpFO1Eec"
8260,"IAF Airmen Selection Centre Kochi,  organised a Motivational and Awareness  programme on the theme of 'Join Indian Air Force' as #Agniveer under #AgnipathScheme at Fathima Matha College ,Kollom.
#AgnipathRecruitmentScheme 
#Agniveers 
#AgniveerRecruitment2022 https://t.co/zaT0k32MVW"
8261,"Free Vidoes for Agniveer Classes

Its Free.
No Fees.
No Hidden Charges.

https://t.co/8PjEiXOHU2

Note : We Charge Only for Mock Tests and Self Assesments.

#Agniveer
#agniveerRecruitmentScheme"
8262,"Free Vidoes for Agniveer Classes

Its Free.
No Fees.
No Hidden Charges.

https://t.co/CkrBl0Jmwx

Note : We Charge Only for Mock Tests and Self Assesments.

#Agniveer
#agniveerRecruitmentScheme"
8263,The government is planning to provide Class 12 pass certificates to candidates who join the #ArmedForces through the #Agnipathscheme after completing education till Class 10. https://t.co/xgMxK6rEAc
8264,"National Institute of Open Schooling (NIOS) has initiated a special course for #Agniveers, which will enable them to get Class 12 certifications at the end of their 4-year tenure. 

@adgpi @niostwit @indiannavy @IAF_MCC @DefenceMinIndia #AgnipathScheme 

https://t.co/Q5KXMnTj4k"
8265,"Defence minister Rajnath Singh on Tuesday rejected the Opposition's allegations that, for the first time in the country, caste certificates are being asked from the Agnipath aspirants.

Link in comments.

#DC #DeccanChronicle #news #NewsUpdate #todaysnews #agnipathscheme https://t.co/n5WJjuW9AJ"
8266,"#AgnipathScheme: The Delhi High Court Wednesday said it will hear on August 25 a batch of petitions challenging the Centre's Agnipath Scheme as it is yet to receive the files of pleas transferred here by the Supreme Court. #indianarmy #Agniveer
https://t.co/VckWs1HCL1"
8267,"In a major boost for youth intending to join as ‘Agniveers’ LG Manoj Sinha announced 10 percent reservation for them in Jammu and Kashmir Police.

#AgnipathScheme is an opportunity for #Kashmiri youth to serve the nation and secure their future for rest of their life! https://t.co/PwEsc3jNTS"
8268,"Delhi HC to hear all pleas on #AgnipathScheme on August 25

https://t.co/WerazqwHoE"
8269,"#AamAadmiParty and #TejaswiYadav creating unnecessary controversy on caste/religion in Army enrollment forms.
The requiring caste&amp; religion certificates,was always there as per Army Rules-1954 &amp; Defence Service Regulation-1987 and there has been no change for the #AgnipathScheme. https://t.co/L7UfxZER8m"
8270,"Hon’ble MP did not know names of the Army , Navy &amp; Airforce Chief but had come to debate on #Agnipath  

Video courtesy : @CinemaPyaasa https://t.co/RHsGmOGaHj"
8271,"Delhi HC to hear pleas challenging Agnipath scheme on August 25 #agnipathscheme #agnipathschemenews #delhihc #DelhiHConAgnipath #DelhiHighCourt https://t.co/V9tXARKgBh
https://t.co/llQrFY2Gpm"
8272,"Delhi HC to hear all petitions challenging Agnipath Scheme on August 25

#Agnipathscheme  #HC   #highcourt  #agniveers  #delhihighcourt  #pleaonagnipathscheme  #HCtohearplea   #agnipathprotest

https://t.co/6nxmaUacsf"
8273,Rajnath Singh clarifies on Agnipath controversy | No changes in rules https://t.co/CGU1mXWKXz via @YouTube @DDNewslive @PIB_India @rajnathsingh @PMOIndia @DefenceMinIndia #AgnipathScheme
8274,"In their continuous endeavour to promote the #AgnipathScheme and to motivate the local youths to join armed forces,a lecture on Agnipath scheme was organised at #Manasbal #Kashmir 

Such efforts will eventually boost the morale of youths to serve the nation as #Agniveers!! https://t.co/6Yxb7rx1Gs"
8275,"After the Supreme Court transferred various pleas related to Agnipath Scheme to Delhi HC, the Delhi HC fixed the date to August 25, 2022 to hear all the petitions challenging Agnipath Scheme.

#AgnipathRecruitmentScheme #DelhiHighCourt #AgnipathScheme
https://t.co/iYhLsgdkYR"
8276,"@adgpi We support agnipath scheme
Be agniveer
#AgnipathScheme 
#agniveer
#Ukairncc
#HQDGNCC
#ukdirectorate https://t.co/uXrb8D6nD0"
8277,"Good news for youth who become Agniveer after passing 10th; will get this gift after 4 years

#Agnipath #Agniveer 
https://t.co/yj6ZhACo6R"
8278,"The #DelhiHighCourt will hear on August 25 all the pleas challenging the Centre's newly-launched #Agnipath recruitment scheme. 

FTV INDIA https://t.co/ZIbRVNPJX0"
8279,"RT @CSCegov_: Agniveer Navy Registration Camp was organized by VLE Praveen Chaudhary at Jatwara, Ghaziabad District, Uttar Pradesh.

#CSC #DigitalIndia #RuralEmpowerment #AgnipathScheme #AgnipathRecruitmentScheme #IndiaKeAgniveer #Agniveer #Agnipath https://t.co/nS6r1gt6m0"
8280,"RT @ani_digital: Delhi HC to hear all petitions challenging Agnipath Scheme on August 25

Read @ANI Story | https://t.co/5VBFkquYAE
#AgnipathScheme #DelhiHighCourt #SupremeCourt #Agnipath https://t.co/VVohhwb3nm"
8281,Indian Navy invites applications for Agniveer - Senior Secondary Recruits: Apply by July 22 https://t.co/dGG0kfQtiT #indianews #Agniveer #IndianNavy
8282,timesofindia: #Delhi | They do not have any topic to discuss. Recruitments are done as per Army Rules 1954 &amp; Defence Service Regulation 1987. Parties like AAP trying to mislead: Union min #AnuragThakur on allegations of caste &amp; religion certificates being asked for #Agnipath
8283,The #DelhiHighCourt will hear on August 25 all the pleas challenging the Centre's newly-launched #Agnipath recruitment scheme. https://t.co/jW07sSKrVB
8284,"@adgpi We are proud to tell such inspirations through our awareness camps. #Agnipath program is a boon for rural youth. We at CEI @CEIempowers are conducting 𝐀𝐰𝐚𝐫𝐞𝐧𝐞𝐬𝐬 𝐂𝐚𝐦𝐩𝐬 regarding Agnipath program, in rural India #Agniveer Here is a video of the same.
OM Namah Shivay https://t.co/eecSSJlNyc"
8285,"Delhi HC to hear all pleas on Agnipath scheme on August 25

#AgnipathScheme 

https://t.co/mOMb8FFP43"
8286,"Delhi HC to hear all pleas on Agnipath scheme on August 25
#DelhiHC #Agnipath #August #socialnewsxyz https://t.co/P2Ch250xyA"
8287,"Delhi HC to hear all pleas on Agnipath scheme on August 25
#DelhiHC #Agnipath #August #socialnewsxyz https://t.co/Fao51lMykf"
8288,"Delhi HC to hear all petitions challenging Agnipath Scheme on August 25

#AgnipathScheme #DelhiHighCourt #SupremeCourt #Agnipath https://t.co/g652UUjdtF"
8289,#DelhiHighCourt to hear all #petitions challenging the #Agnipathscheme on August 25. @LawstreetJ #Agnipath
8290,"Delhi HC to hear all petitions challenging Agnipath Scheme on August 25

Read @ANI Story | https://t.co/NBrB5XoDLt
#AgnipathScheme #DelhiHighCourt #SupremeCourt #Agnipath https://t.co/SXFedxYIHY"
8291,"Superb @RubikaLiyaquat 
Nation needs more anchor like you...

These opposition leaders have gone blind in the name of #Modihate .

They themselves don't know what to say and unnecessarily creates hue and cry.

#AgnipathScheme https://t.co/r8qTuIfxuo"
8292,"#GoodNews for #Youth who become #Agniveer after passing 10th; will get this gift after 4 years
https://t.co/7NquhQFs4s
20 th July 2022 
via NaMo App https://t.co/5kFVgGx3mR"
8293,#Delhi | They do not have any topic to discuss. Recruitments are done as per Army Rules 1954 &amp; Defence Service Regulation 1987. Parties like AAP trying to mislead: Union min #AnuragThakur on allegations of caste &amp; religion certificates being asked for #Agnipath
8294,"#FactCheck
Claim: For the first time in the history of India, Caste is being asked in army recruitment.

➡️This claim is false.
➡️Provision to produce Caste Certificate for Army Recruitment is a pre-existing one.
➡️No change has been specifically made for #AgnipathScheme https://t.co/BIZQMzTrRQ"
8295,"[Agnipath Scheme] Delhi High Court clubs all cases, lists it for hearing on August 25

report by @prashantjha996 

#DelhiHighCourt #AgnipathScheme 

https://t.co/cYZj641Uh2"
8296,"#Agnipath is yet another massive positive step in defence sector to fortify India  
Agnipath a Watershed https://t.co/5sCxGBRg2D"
8297,"#Agnipath is yet another massive positive step in defence sector to fortify India  
Agnipath a Watershed https://t.co/BXwm9aXtZV"
8298,"#Agnipath is yet another massive positive step in defence sector to fortify India  
Agnipath a Watershed https://t.co/LPag0DBinA"
8299,"#Delhi HC to hear pleas challenging Centre’s #Agnipath recruitment scheme on August 25
https://t.co/fbRydFafVB"
8300,"#FactCheck
Claim: For the first time in the history of India, Caste is being asked in army recruitment.

➡️This claim is false.
➡️Provision to produce Caste Certificate for Army Recruitment is a pre-existing one.
➡️No change has been specifically made for #AgnipathScheme https://t.co/eGafLeDf3L"
8301,"#Day2 
Ongoing 72 hour sit on demonstration aganist #AgnipathScheme at mid-night  organised by @iyctripura.
@IYC @srinivasiyc @Allavaru @drajoykumar @szarita @AshutoshNSUIWB https://t.co/vzOMTnWKXa"
8302,"The Delhi High Court will hear on August 25 a batch of petitions challenging the Centre's Agnipath Scheme

#Agnipath #Agniveer #AgnipathRecruitmentScheme #AgnipathScheme #IndianArmy
https://t.co/lNCIw95DWZ"
8303,"#AgnipathScheme Good or Bad explained by Nitish Rajput, please watch complete video 👇
#NitishRajputOnAgnipath
Satyamev Jayate 
#2DaysToShamshera #angnipath https://t.co/dCGBtXDq7P"
8304,"#ModiHaiTohMumkinHai
Kudos PM @narendramodi Ji Govt 
Good news for youth who become #Agniveer under #AgnipathRecruitmentScheme
after passing 10th class.
After serving four years as Agniveer, this youths will get 12th pass certificate. 
https://t.co/A0cxcQOOLt
@PMOIndia https://t.co/Blkyh2uwdz"
8305,"Politics at play by perpetual disgruntled AAPtard. Caste info sought since recruitment is on caste/religion &amp;region lines. Religion reqd for last rites in case of death on duty, personal law- e.g succession etc. This always existed even before #AgnipathScheme . 
@BJP4India @adgpi https://t.co/x3cXX5RNl9"
8306,"#Agniveer scheme is an opportunity for #Kashmiri youth to serve the nation &amp; also secure their future for rest of life.

Fruitful 4 yrs to make India proud &amp; fallback as a financially efficient &amp; better citizen

10% Reservation in @KashmirPolice &amp; other jobs for Agniveers. https://t.co/MS3HODfRq0"
8307,"Politics at play by disgruntled .Caste info is sought since recruitment is on caste/religion &amp;region lines. Religion reqd for last rites in case of death on duty, personal law- e.g succession etc. This always existed even before #AgnipathScheme . @BJP4India @adgpi https://t.co/9OUvaUZnjL"
8308,"Some so-called liberals are thinking and discussing the fate of agniveers in the Agnipath scheme to put CGI in a tactical dilemna.  
On the other hand, people who are really willing to be part of the Indian Armed Forces are applying for the Agnipath Scheme.
#AgnipathScheme"
8309,#Delhi High Court to hear batch of pleas challenging #Agnipath defence recruitment scheme on August 25.
8310,"#AROGuntur, #Agniveer, #Armyrally
🔥 ARO Guntur Indian Army Agniveer Recruitment Rally 2022
👉 Apply Online:- https://t.co/ZRx6EMe8lB"
8311,"#AROCoimbatore, #Agniveer, #Armyrally
🔥 ARO Coimbatore Indian Army Agniveer Recruitment Rally 2022
👉 Apply Online:- https://t.co/FP3mTbNges"
8312,"#AROBarrackpore, #Agniveer, #Armyrally
🔥 ARO Barrackpore Indian Army Agniveer Recruitment Rally 2022
👉 Apply Online:- https://t.co/74ocLeQ8I5"
